,EEP,log10_isochrone_age_yr,initial_mass,star_mass,star_mdot,he_core_mass,c_core_mass,log_L,log_LH,log_LHe,log_Teff,log_R,log_g,surface_h1,surface_he3,surface_he4,surface_c12,surface_o16,log_center_T,log_center_Rho,center_gamma,center_h1,center_he4,center_c12,phase
99141,1478,10.100000000000001,0.9739227797121317,0.5376800104915559,-2.4326681855905104e-07,0.5359956330396245,0.47150552907063886,3.508720112182451,3.4838467122296026,-98.99999999999997,4.1541152088626,0.9688067905481382,2.2310551575060975,0.7016977783597514,0.0001500202035743911,0.28404460800433884,0.0016001338463854824,0.0059954316669641045,7.950560757099895,6.191890783546354,6.487255099013937,3.2856241352150734e-37,8.529593708315056e-17,0.28609569485853875,6.0
88210,773,9.75,1.2275656402811577,1.1883682645459126,-5.536480461338952e-10,0.5124387225095336,0.3231473138525529,2.5851345554793936,1.041688625347301,2.394176445691438,3.5892939032432007,1.6366566234354085,1.2397681957436286,0.6980561258843454,0.00019725280416207683,0.2874288047071896,0.0015123938780898022,0.006062823184525232,8.124841527470418,5.7409622342084266,3.022392469655106,1.5435955556032735e-35,1.3722137053880846e-15,0.3184107912947409,4.0
71724,673,9.200000000000001,1.8384564182984644,1.8228054185964973,-1.6440392175743456e-11,0.4903027505145552,0.0,1.8022105253929943,1.4187998184449842,1.161286678798542,3.6797307185219092,1.0643209778347926,2.5702425225210828,0.7005087994140935,0.0002083948818007087,0.28480927342048523,0.0011816741186751669,0.006055538483422234,8.161415677586774,4.30846819451102,0.5956254607182146,2.545961533316581e-21,0.09233892856763636,0.48682282638268837,3.0
76756,1197,9.350000000000001,1.634225017504657,1.4406332250848004,-2.038533931493563e-07,0.5576914748638286,0.5098847584454671,3.4835628044678852,0.5264894950377343,4.102773551348669,3.5052216259074243,2.2540153026012084,0.0886443682418694,0.7002143672808823,0.0001961565336902136,0.28513766951074904,0.0011874488956423153,0.0060839938719880445,7.9227890435196135,6.216796784580491,6.90992663830554,2.6399273294841553e-46,1.4099926781695404e-22,0.3252309094563844,5.0
41531,1080,8.200000000000001,4.470784385127045,3.592593641890825,-5.4323867965264984e-05,0.8539922525080794,0.8413129585298408,4.347641760752336,1.6932299152777595,4.111926728921138,3.483955857065263,2.7285863184277566,-0.463951432986632,0.6592142079962058,6.789358833233598e-05,0.32625814610506,0.0010715959994961387,0.005050292141498032,8.110759896332889,6.928878543223865,7.622856306997,2.1651598170668088e-42,8.586637522527359e-28,0.358095220129698,5.0
104474,1027,10.3,0.8559158795201709,0.7568400063569789,-1.628504235592666e-07,0.5178192361956548,0.43602108026306163,3.1550440277220084,0.04369422709450921,2.7662443294662884,3.5088550982289757,2.082488969585167,0.14885280945407203,0.7104088185474164,0.00016362715958620413,0.27563035917464707,0.0016773455535056025,0.005882376662550312,7.961792306656529,6.0685190517378835,5.6635536642667414,5.5382904806533485e-37,3.162837191809049e-15,0.31658200408626924,5.0
82425,906,9.55,1.4110917499528806,1.3618946323279855,-8.560085374170849e-07,0.5351912698792489,0.45797036425963267,3.534641661315681,-0.7112219057327456,3.1885355715966077,3.4935487349336594,2.3029005129726356,-0.03351418000471758,0.6986814515816515,0.00019944138487313075,0.2867192936438334,0.0013185643179890539,0.006078773082581723,7.970487328958102,6.118516856892548,5.840161789759709,1.1621101691978966e-43,7.55620684680738e-21,0.2920332228989053,5.0
84278,1272,9.600000000000001,1.361929785742408,1.17672584844115,-2.4062360443969525e-06,0.5472331468216175,0.49036990305136935,3.65968182285925,-0.7629978104839273,3.5610335879177835,3.4676768988535587,2.417164265904621,-0.32551215750468093,0.6984645618235541,0.00019609178737973012,0.2869505834139186,0.0013243933047280818,0.0060737183726336606,7.932357229182156,6.183621832663378,6.623303444839518,1.3829648751682073e-44,3.751923450727122e-21,0.315040705958947,5.0
52114,855,8.55,3.3041959675717534,3.2404019281633887,-5.92448989775925e-07,0.6848911440008185,0.6519080991270668,3.87219970224526,-0.660287303182655,3.9981077678284365,3.5210070086848253,2.416762985935091,0.11509852211154227,0.6874692303170884,0.00011778230550024159,0.29799292079433026,0.001134947880717364,0.005414573484867062,8.082274558199078,6.479503254309424,5.747405558198705,4.963544820070977e-44,3.3029584561551526e-28,0.36238715358410395,5.0
38632,1290,8.100000000000001,4.881755399052966,2.136209698135776,-0.00042782886503445693,0.8875996885188464,0.8798904496056054,4.3608496749820835,3.0281242290060106,3.450085289444752,3.4647499520407425,2.773602085591671,-0.8077685934972108,0.646113918672165,5.735150382141094e-05,0.3391536310487116,0.001198893176276649,0.005007405499378216,8.091388015262396,7.042124370543318,8.433030773796451,7.775598239926705e-43,2.9120720878552295e-26,0.417778210834851,5.0
16403,360,7.0,14.428253925762338,14.36536275944929,-9.231073518618992e-09,0.0,0.0,4.462070093918932,4.462782733168014,-25.70001122038126,4.4288770845060474,0.8959580301294845,3.8033027129148635,0.7137750706509873,4.758648314108779e-05,0.27182146645461386,0.001870643718118267,0.005880699441499708,7.573739995792759,0.8500664999759276,0.01694474584901046,0.31317175370417716,0.6728832632493243,5.9473784598435014e-05,0.0
100991,431,10.200000000000001,0.8619960343491756,0.8615885717005262,-5.959296482553319e-14,0.000187369211644897,0.0,0.02847252685942952,0.02847537524779336,-35.78896867200233,3.7397349830040443,0.05744344960374119,4.256556124169059,0.7749465781479682,5.768110463793855e-05,0.21344636006204465,0.002055680106464363,0.0050301356389246595,7.281761022690989,2.910143035948945,0.28678213871948677,0.00016702124514256328,0.9809724766851325,2.17050102876788e-05,0.0
93940,643,9.950000000000001,1.0696624635685816,1.0275103284951723,-2.1407784764247413e-11,0.47145922615078933,0.0,1.696410424983025,1.50169380376945,1.3763944100958176,3.6635330890893276,1.043816186494971,2.3622337525655164,0.6982430558700313,0.00018736295622416235,0.28736144905985894,0.001600869875121625,0.006031263391917365,7.57667509586331,4.5712720764438775,0.547521949991142,2.776716736839144e-25,0.9476145146784175,0.037203530143043013,3.0
41838,1387,8.200000000000001,4.471013195041535,1.6319455289916263,-0.0004802345708925528,0.8573567135164009,0.8480737872830437,4.318033542244325,4.293508597674572,1.9215793273318083,3.453382314054429,2.7749292951954194,-0.9003074459630366,0.6583262970362809,6.778686115351385e-05,0.3263727081212798,0.0016863348978646898,0.0051839085559117,8.083201458428979,6.978044271592117,8.432698121661714,2.0811590889786094e-43,1.3233932554137157e-25,0.35801584951713633,5.0
5035,74,5.9,0.23522336407804223,0.23522320439914327,-9.548383091332337e-14,0.0,0.0,-0.5083177937946841,-1.1352716720891478,-98.99999999999999,3.518801264326747,0.23091572663127724,3.345614397879283,0.7153931599355616,6.535854597538986e-05,0.27025513764705833,0.002496535827498268,0.006108885229886299,6.042087659366828,-0.3582884758159251,0.1735015515466969,0.7153931599211265,0.27025513764705833,0.002496535827498268,-1.0
17169,420,7.050000000000001,16.477159004761553,15.951945137629846,-3.721626733656677e-07,0.0,0.0,4.765705530295678,4.761192880419999,-18.934475245916268,4.378768744425049,1.1479924284798542,3.3447911795365517,0.7121854459507309,3.523110770240724e-05,0.2733728995906915,0.001413903842587274,0.005687053837720364,7.698482155105811,1.1343536526094344,0.027322518789418108,0.006977563291738724,0.9790773088192744,8.59144722984049e-05,0.0
37315,1531,8.05,5.120183688369682,0.9086573900220295,-0.00022372010388440857,0.9068097577566295,0.9014351651249828,4.33864627648979,4.305535756524226,-76.51407266235611,4.950794366874849,-0.20958844332269033,4.8157074349180355,0.6392718479770461,2.7694540287727995e-05,0.34616483006669957,0.0005228442075382801,0.004864089854419088,8.096556048204388,7.094401332875163,8.741556553296766,1.0119511703569853e-42,7.955270296808437e-26,0.4020811270341884,6.0
81623,1592,9.5,1.4621125500241243,0.5644431061018582,-1.177325987312755e-12,0.5640370467538193,0.5218516102421812,2.5453792099609696,2.018390673395572,-98.99999999999999,5.0743897196785,-1.3534126821944017,6.896591751591684,0.6757026934325983,6.480825558261315e-05,0.3098576621535822,0.0010323337967992866,0.005438437432248836,7.9337868807979675,6.282903711322063,7.08772480080288,2.7822896760715285e-44,4.004984964059531e-23,0.3252131002414351,6.0
9,19,5.0,0.1365503560579116,0.13655033590649535,-1.5063043652194363e-13,0.0,0.0,-0.5942540076319933,-3.2365516396690297,-98.99999999999999,3.4846902051670754,0.2561697380319662,3.054530641655538,0.7153999900781212,4.4868119819896705e-05,0.2702551376465836,0.0024965358274925036,0.006108885229872239,5.794254517838754,-0.6432422175356444,0.24779312316401503,0.7153999900779424,0.2702551376465836,0.002496535827492504,-1.0
66057,1058,9.0,2.306011888548774,2.2696258160126606,-1.7425383708205033e-08,0.547090287527288,0.4804533986392142,3.4071654071442437,2.889962451503332,2.643488695924976,3.5438955209282064,2.1384688138978225,0.5171589442483807,0.6936316461798062,0.00022870170747127066,0.2917024115023127,0.0012367567006620374,0.0057255684158236606,7.90683167299317,6.199901772326854,7.445861577174565,1.3376889680427917e-36,1.3433531084493637e-12,0.2256464434232418,5.0
100191,1078,10.150000000000002,0.942837687845711,0.8205047580212979,-3.0174339141343027e-06,0.5266086331297944,0.4554557870618612,3.422576168600399,-0.7366204356186137,3.4294034507769195,3.474021616317222,2.285922003847869,-0.22064466412689487,0.7033999023189035,0.0001702947511668364,0.28237793634168096,0.0016541922976289602,0.005979988223150545,7.949945469190363,6.11105682740439,6.070747801190189,8.214393742288256e-39,2.0233839416195208e-16,0.29733439632335523,5.0
